id,Evakuasi,kor_lat,kor_lon,Alamat_ID,Alamat_EN
178,Hotel Aria Centra,-7.267,112.744,"Jalan Taman Ade Irma Suryani Nasution, RW 03, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 68485, Indonesia","Jalan Taman Ade Irma Suryani Nasution, RW 03, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 68485, Indonesia"
179,Wyndham Surabaya,-7.266,112.741,"Sentral Yamaha Basuki Rahmat, 45-47, Jalan Jenderal Basuki Rachmat, RW 03, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 68485, Indonesia","Sentral Yamaha Basuki Rahmat, 45-47, Jalan Jenderal Basuki Rachmat, RW 03, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 68485, Indonesia"
180,Dyandra Convetion Center Surabaya,-7.269,112.742,"Graha Pasifik, 87-91, Jalan Jenderal Basuki Rachmat, RW 09, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60271, Indonesia","Graha Pasifik, 87-91, Jalan Jenderal Basuki Rachmat, RW 09, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60271, Indonesia"
181,Graha Pacific,-7.268,112.742,"Jalan Embong Gayam, RW 09, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 68485, Indonesia","Jalan Embong Gayam, RW 09, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 68485, Indonesia"
182,Crown Prince Hotel surabaya City Center,-7.27,112.742,"Koko Perdana Office Building, Jalan Lemah Putro III, RW 09, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60271, Indonesia","Koko Perdana Office Building, Jalan Lemah Putro III, RW 09, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60271, Indonesia"
183,JAPFA Tower I,-7.271,112.742,"Kantor Arsip & PDAM Kota Surabaya, Jalan Basuki Rahmat, RW 07, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60271, Indonesia","Kantor Arsip & PDAM Kota Surabaya, Jalan Basuki Rahmat, RW 07, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60271, Indonesia"
184,Goldvitel Hotel,-7.272,112.742,"Bumi Mandiri Tower I, 129-137, Jalan Jenderal Basuki Rachmat, RW 07, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60271, Indonesia","Bumi Mandiri Tower I, 129-137, Jalan Jenderal Basuki Rachmat, RW 07, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60271, Indonesia"
185,Gedung Bumi Mandiri,-7.27,112.743,"Hotel Elmi, 42-44, Jalan Panglima Besar Sudirman, RW 09, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60271, Indonesia","Hotel Elmi, 42-44, Jalan Panglima Besar Sudirman, RW 09, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60271, Indonesia"
186,Elmi Hotel,-7.269,112.743,"Hotel Elmi, 42-44, Jalan Panglima Besar Sudirman, RW 09, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60271, Indonesia","Hotel Elmi, 42-44, Jalan Panglima Besar Sudirman, RW 09, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60271, Indonesia"
187,Intiland Tower Surabaya,-7.273,112.743,"Grand Whiz Hotel Praxis Surabaya, 101, Jalan Panglima Besar Sudirman, RW 07, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60271, Indonesia","Grand Whiz Hotel Praxis Surabaya, 101, Jalan Panglima Besar Sudirman, RW 07, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60271, Indonesia"
188,Praxis Apartment,-7.273,112.744,"Jalan Kayoon, RW 04, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60271, Indonesia","Jalan Kayoon, RW 04, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60271, Indonesia"
190,Gerao IM3 Kayoon Surabaya,-7.272,112.744,"Galeri Indosat, 72, Jalan Kayoon, RW 04, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60271, Indonesia","Galeri Indosat, 72, Jalan Kayoon, RW 04, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60271, Indonesia"
191,Blue Dolphin Playskool-Surabaya,-7.272,112.743,"Jalan Sono Kembang, RW 07, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60271, Indonesia","Jalan Sono Kembang, RW 07, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60271, Indonesia"
192,Hotel sulawesi Gorontalo,-7.27,112.744,"UOB, Jalan Panglima Besar Sudirman, RW 07, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60271, Indonesia","UOB, Jalan Panglima Besar Sudirman, RW 07, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60271, Indonesia"
193,Kanwil Kementerian Hukum Jatim,-7.27,112.747,"RW 05, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60281, Indonesia","RW 05, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60281, Indonesia"
194,dinas kepemudaan dan olahraga prov. jatim,-7.27,112.746,"KANTOR WILAYAH KEMENTERIAN HUKUM DAN HAM JAWA TIMUR, 50-52, Jalan Kayoon, RW 05, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60271, Indonesia","KANTOR WILAYAH KEMENTERIAN HUKUM DAN HAM JAWA TIMUR, 50-52, Jalan Kayoon, RW 05, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60271, Indonesia"
195,MNC Tower Surabaya,-7.268,112.745,"Jalan Embong Ploso, RW 04, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60271, Indonesia","Jalan Embong Ploso, RW 04, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60271, Indonesia"
196,Wisma jerman,-7.268,112.745,"Jalan Embong Ploso, RW 04, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60271, Indonesia","Jalan Embong Ploso, RW 04, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60271, Indonesia"
197,The Win Hotel,-7.269,112.747,"Jalan Embong Ploso, RW 04, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60271, Indonesia","Jalan Embong Ploso, RW 04, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60271, Indonesia"
198,Kantor Pelayanan Pajak Pratama Surabaya genteng,-7.269,112.747,"Jalan Embong Ploso, RW 04, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60271, Indonesia","Jalan Embong Ploso, RW 04, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60271, Indonesia"
199,Ibis Suarabaya City Center,-7.269,112.741,"Jalan Kombes Polisi M. Duriyat, RW 03, Tegalsari, Surabaya, Jawa Timur, Jawa, 60262, Indonesia","Jalan Kombes Polisi M. Duriyat, RW 03, Tegalsari, Surabaya, East Java, Java, 60262, Indonesia"
200,Bank Jatim Kantor Pusat,-7.27,112.741,"Bank Jatim, 98-104, Jalan Jenderal Basuki Rachmat, RW 09, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60271, Indonesia","Bank Jatim, 98-104, Jalan Jenderal Basuki Rachmat, RW 09, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60271, Indonesia"
201,Bumi Surabaya Ciy Resort,-7.271,112.741,"Graha Bumi Modern, 106-128, Jalan Basuki Rahmat, RW 07, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60271, Indonesia","Graha Bumi Modern, 106-128, Jalan Basuki Rahmat, RW 07, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60271, Indonesia"
202,Masjid Baitusy syakur,-7.271,112.741,"Graha Bumi Modern, 106-128, Jalan Basuki Rahmat, RW 07, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60271, Indonesia","Graha Bumi Modern, 106-128, Jalan Basuki Rahmat, RW 07, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60271, Indonesia"
203,SDN Kaliasin V,-7.273,112.741,"Gang 1, RW 11, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60271, Indonesia","Gang 1, RW 11, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60271, Indonesia"
204,RSUP Kemenkes Surabaya,-7.242,112.737,"Gereja Katolik Kelahiran Santa Perawan Maria, Jalan Kepanjen, RW 08, Krembangan Selatan, Krembangan, Surabaya, Jawa Timur, Jawa, 60161, Indonesia","Church of the Birth of Our Lady, Jalan Kepanjen, RW 08, Krembangan Selatan, Krembangan, Surabaya, East Java, Java, 60161, Indonesia"
205,SMK Kawung 1 Surabaya,-7.241,112.737,"Yayasan Mardi Wiyata Perwakilan Surabaya, Jalan Kepanjen, RW 08, Krembangan Selatan, Krembangan, Surabaya, Jawa Timur, Jawa, 60174, Indonesia","Yayasan Mardi Wiyata Perwakilan Surabaya, Jalan Kepanjen, RW 08, Krembangan Selatan, Krembangan, Surabaya, East Java, Java, 60174, Indonesia"
206,Prodi DIII Keperawatan Sutopo Poltekkes Kemenkes Surabaya,-7.242,112.736,"Asrama Santa Yuli (PG-TKK Taman Rini SDK Santa Angela), Jalan Kepanjen, RW 08, Krembangan Selatan, Krembangan, Surabaya, Jawa Timur, Jawa, 60174, Indonesia","Asrama Santa Yuli (PG-TKK Taman Rini SDK Santa Angela), Jalan Kepanjen, RW 08, Krembangan Selatan, Krembangan, Surabaya, East Java, Java, 60174, Indonesia"
207,SDN Kemayoran surabaya,-7.241,112.734,"Jalan Sanggar, RW 06, Krembangan Selatan, Krembangan, Surabaya, Jawa Timur, Jawa, 60175, Indonesia","Jalan Sanggar, RW 06, Krembangan Selatan, Krembangan, Surabaya, East Java, Java, 60175, Indonesia"
208,Kantor Kelurahan Wonorejo Kecamatan Tegalsari,-7.272,112.733,"Jalan Wonorejo IV, RW 06, Wonorejo, Tegalsari, Surabaya, Jawa Timur, Jawa, 60252, Indonesia","Jalan Wonorejo IV, RW 06, Wonorejo, Tegalsari, Surabaya, East Java, Java, 60252, Indonesia"
209,Vihara Dhammadipta Surabaya,-7.275,112.733,"Galaxi Billiard, Jalan Pandegiling, RW 03, Dr. Sutomo, Tegalsari, Surabaya, Jawa Timur, Jawa, 60252, Indonesia","Galaxi Billiard, Jalan Pandegiling, RW 03, Dr. Sutomo, Tegalsari, Surabaya, East Java, Java, 60252, Indonesia"
210,Kantor Kelurahan Sawahan,-7.262,112.727,"Jalan Kedungdoro XI, RW 06, Sawahan, Surabaya, Jawa Timur, Jawa, 60251, Indonesia","Jalan Kedungdoro XI, RW 06, Sawahan, Surabaya, East Java, Java, 60251, Indonesia"
211,Masjid Al Muqorrobien,-7.261,112.728,"Jalan Kedungdoro II, RW 11, Sawahan, Surabaya, Jawa Timur, Jawa, 60251, Indonesia","Jalan Kedungdoro II, RW 11, Sawahan, Surabaya, East Java, Java, 60251, Indonesia"
212,Pasar Blauran Baru,-7.257,112.733,"Jalan Sawahan Templek Gang IV, RW 09, Sawahan, Surabaya, Jawa Timur, Jawa, 60251, Indonesia","Jalan Sawahan Templek Gang IV, RW 09, Sawahan, Surabaya, East Java, Java, 60251, Indonesia"
213,Prime Royal Hotel,-7.256,112.73,"Jalan Tembok Gede I, RW 01, Bubutan, Surabaya, Jawa Timur, Jawa, 60251, Indonesia","Jalan Tembok Gede I, RW 01, Bubutan, Surabaya, East Java, Java, 60251, Indonesia"
214,Ibis Surabaya Tidar,-7.257,112.73,"SMK Negeri 4 Surabaya, Jalan Kranggan, RW 08, Sawahan, Surabaya, Jawa Timur, Jawa, 60251, Indonesia","SMK Negeri 4 Surabaya, Jalan Kranggan, RW 08, Sawahan, Surabaya, East Java, Java, 60251, Indonesia"
215,Gereja Yesus Sejati Surabaya,-7.257,112.728,"Toeng Market, No.84, Jalan Tidar, RW 07, Sawahan, Surabaya, Jawa Timur, Jawa, 60251, Indonesia","Toeng Market, No.84, Jalan Tidar, RW 07, Sawahan, Surabaya, East Java, Java, 60251, Indonesia"
216,"Gereja Katolik Paroki Santo Vincentius A Paulo, Widodaren Sawahan",-7.259,112.732,"Jalan Anjasmoro, RW 07, Sawahan, Surabaya, Jawa Timur, Jawa, 60251, Indonesia","Jalan Anjasmoro, RW 07, Sawahan, Surabaya, East Java, Java, 60251, Indonesia"
217,Nite & Day Hotel Kedungdoro,-7.261,112.731,"Jalan Widodaren, RW 07, Sawahan, Surabaya, Jawa Timur, Jawa, 60251, Indonesia","Jalan Widodaren, RW 07, Sawahan, Surabaya, East Java, Java, 60251, Indonesia"
218,SDN Sawahan IV,-7.264,112.725,"Jalan Tengger III, RW 04, Sawahan, Surabaya, Jawa Timur, Jawa, 60251, Indonesia","Jalan Tengger III, RW 04, Sawahan, Surabaya, East Java, Java, 60251, Indonesia"
219,Pusat Grosir Surabaya,-7.246,112.732,"Pasar Grosir Surabaya, 1, Jalan Raya Dupak, RW 03, Gundih, Bubutan, Surabaya, Jawa Timur, Jawa, 60172, Indonesia","Pasar Grosir Surabaya, 1, Jalan Raya Dupak, RW 03, Gundih, Bubutan, Surabaya, East Java, Java, 60172, Indonesia"
220,Stasiun Surabaya Pasar Turi,-7.247,112.731,"PT Herona Express, 1, Jalan Raya Dupak, RW 01, Gundih, Bubutan, Surabaya, Jawa Timur, Jawa, 60174, Indonesia","PT Herona Express, 1, Jalan Raya Dupak, RW 01, Gundih, Bubutan, Surabaya, East Java, Java, 60174, Indonesia"
221,Dupak Grosir Surabaya,-7.247,112.73,"Dupak Grosir, Jalan Gundih, RW 01, Gundih, Bubutan, Surabaya, Jawa Timur, Jawa, 60174, Indonesia","Dupak Grosir, Jalan Gundih, RW 01, Gundih, Bubutan, Surabaya, East Java, Java, 60174, Indonesia"
222,D'Carol Hotel Surabaya,-7.247,112.73,"Dupak Grosir, Jalan Gundih, RW 01, Gundih, Bubutan, Surabaya, Jawa Timur, Jawa, 60174, Indonesia","Dupak Grosir, Jalan Gundih, RW 01, Gundih, Bubutan, Surabaya, East Java, Java, 60174, Indonesia"
223,RSUP Kemenkes Surabaya,-7.24,112.731,"Jalan Parang Kusumo, RW 09, Kemayoran, Krembangan, Surabaya, Jawa Timur, Jawa, 60175, Indonesia","Jalan Parang Kusumo, RW 09, Kemayoran, Krembangan, Surabaya, East Java, Java, 60175, Indonesia"
224,SMK Kawung 1 Surabaya,-7.238,112.731,"Jalan Indrapura, RW 01, Kemayoran, Krembangan, Surabaya, Jawa Timur, Jawa, 60175, Indonesia","Jalan Indrapura, RW 01, Kemayoran, Krembangan, Surabaya, East Java, Java, 60175, Indonesia"
225,Prodi DIII keperawatan Sutopo Poltekkes Kemenkes Surabaya,-7.24,112.73,"Rumah Sakit UPT Vertikal Surabaya, 17, Jalan Indrapura, RW 04, Krembangan Selatan, Krembangan, Surabaya, Jawa Timur, Jawa, 60175, Indonesia","Surabaya General Vertical Hospital, 17, Jalan Indrapura, RW 04, Krembangan Selatan, Krembangan, Surabaya, East Java, Java, 60175, Indonesia"
