id,Evakuasi,kor_lat,kor_lon,Alamat_ID,Alamat_EN
109,Amaris Hotel Embong Malang Surabaya,-7.259,112.734,"Halte Embong Malang, Jalan Embong Malang, RW 08, Kedungdoro, Tegalsari, Surabaya, Jawa Timur, Jawa, 60275, Indonesia","Halte Embong Malang, Jalan Embong Malang, RW 08, Kedungdoro, Tegalsari, Surabaya, East Java, Java, 60275, Indonesia"
110,Sheraton Surabaya Hotel & Towers,-7.263,112.739,"Tunjungan Plaza, Jalan Kaliasin Pompa, RW 10, Kedungdoro, Tegalsari, Surabaya, Jawa Timur, Jawa, 60261, Indonesia","Tunjungan Plaza, Jalan Kaliasin Pompa, RW 10, Kedungdoro, Tegalsari, Surabaya, East Java, Java, 60261, Indonesia"
111,Tunjungan Plaza,-7.263,112.74,"Tunjungan Plaza, Jalan Kaliasin Pompa, RW 10, Kedungdoro, Tegalsari, Surabaya, Jawa Timur, Jawa, 60261, Indonesia","Tunjungan Plaza, Jalan Kaliasin Pompa, RW 10, Kedungdoro, Tegalsari, Surabaya, East Java, Java, 60261, Indonesia"
112,Four points by Sheraton Surabaya,-7.262,112.739,"Tunjungan Plaza, Jalan Kaliasin Pompa, RW 10, Kedungdoro, Tegalsari, Surabaya, Jawa Timur, Jawa, 60261, Indonesia","Tunjungan Plaza, Jalan Kaliasin Pompa, RW 10, Kedungdoro, Tegalsari, Surabaya, East Java, Java, 60261, Indonesia"
113,Tunjungan Hotel Surabaya,-7.262,112.74,"Tunjungan Hotel, 102-104, Jalan Tunjungan, RW 10, Kedungdoro, Tegalsari, Surabaya, Jawa Timur, Jawa, 60011, Indonesia","Tunjungan Hotel, 102-104, Jalan Tunjungan, RW 10, Kedungdoro, Tegalsari, Surabaya, East Java, Java, 60011, Indonesia"
114,Gedung Ekonomi,-7.261,112.738,"Gedung Go Skate, Jalan Embong Malang, RW 10, Kedungdoro, Tegalsari, Surabaya, Jawa Timur, Jawa, 60275, Indonesia","Gedung Go Skate, Jalan Embong Malang, RW 10, Kedungdoro, Tegalsari, Surabaya, East Java, Java, 60275, Indonesia"
115,Laboratorium Medis Kedungdoro,-7.266,112.732,"Jalan Kedung Anyar Wetan, RW 02, Kedungdoro, Tegalsari, Surabaya, Jawa Timur, Jawa, 60262, Indonesia","Jalan Kedung Anyar Wetan, RW 02, Kedungdoro, Tegalsari, Surabaya, East Java, Java, 60262, Indonesia"
116,Masjid Khoirul Huda,-7.263,112.735,"Jalan Plemahan Gang VI, RW 09, Kedungdoro, Tegalsari, Surabaya, Jawa Timur, Jawa, 60261, Indonesia","Jalan Plemahan Gang VI, RW 09, Kedungdoro, Tegalsari, Surabaya, East Java, Java, 60261, Indonesia"
117,Midtown Hotel Surabaya,-7.267,112.74,"Holycow! Steakhouse by Chef Afit, 6, Jalan Pregolan, RW 02, Tegalsari, Surabaya, Jawa Timur, Jawa, 60262, Indonesia","Holycow! Steakhouse by Chef Afit, 6, Jalan Pregolan, RW 02, Tegalsari, Surabaya, East Java, Java, 60262, Indonesia"
118,Favehotel MEX Tunjungan,-7.267,112.74,"Holycow! Steakhouse by Chef Afit, 6, Jalan Pregolan, RW 02, Tegalsari, Surabaya, Jawa Timur, Jawa, 60262, Indonesia","Holycow! Steakhouse by Chef Afit, 6, Jalan Pregolan, RW 02, Tegalsari, Surabaya, East Java, Java, 60262, Indonesia"
119,Kodim 0832 Surabaya Selatan,-7.267,112.736,"Jalan Tegal Sari, RW 01, Kedungdoro, Tegalsari, Surabaya, Jawa Timur, Jawa, 60261, Indonesia","Jalan Tegal Sari, RW 01, Kedungdoro, Tegalsari, Surabaya, East Java, Java, 60261, Indonesia"
120,Hotel Bisanta Bidakara Tunjungan,-7.267,112.737,"Dunia Suzan, Jalan Tegal Sari, RW 01, Tegalsari, Surabaya, Jawa Timur, Jawa, 60261, Indonesia","Dunia Suzan, Jalan Tegal Sari, RW 01, Tegalsari, Surabaya, East Java, Java, 60261, Indonesia"
121,Gereja Kristen Abdiel Elyon,-7.268,112.738,"Erha, 18, Jalan Kombes Polisi M. Duriyat, RW 03, Tegalsari, Surabaya, Jawa Timur, Jawa, 60226, Indonesia","Erha, 18, Jalan Kombes Polisi M. Duriyat, RW 03, Tegalsari, Surabaya, East Java, Java, 60226, Indonesia"
122,PT. Trust Finance Indonesia,-7.268,112.739,"Panti Asuhan Matahari Terbit, 10-12, Jalan Kombes Polisi M. Duriyat, RW 03, Tegalsari, Surabaya, Jawa Timur, Jawa, 60262, Indonesia","Panti Asuhan Matahari Terbit, 10-12, Jalan Kombes Polisi M. Duriyat, RW 03, Tegalsari, Surabaya, East Java, Java, 60262, Indonesia"
123,Royal Regantris Cendana,-7.268,112.74,"Lentora, 17, Jalan Pregolan, RW 02, Tegalsari, Surabaya, Jawa Timur, Jawa, 60262, Indonesia","Lentora, 17, Jalan Pregolan, RW 02, Tegalsari, Surabaya, East Java, Java, 60262, Indonesia"
