id,Evakuasi,kor_lat,kor_lon,alamat
175,Triliun Office & residence,-7.265,112.747,"Jl. Pemuda, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
176,Mozaren Surabaya,-7.266,112.747,"Jl. Kayoon No.4-10, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
177,Gereja Kristen Abdiel Trinitas,-7.268,112.749,"Jl. Kayoon No.22, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
178,Hotel Aria Centra,-7.267,112.744,"Jl. Taman AIS Nasution No.37, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
179,Wyndham Surabaya,-7.266,112.741,"Jl. Basuki Rahmat No.67 - 73, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
180,Dyandra Convetion Center Surabaya,-7.269,112.742,"Jl. Basuki Rahmat No.93-105, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
181,Graha Pacific,-7.268,112.742,"Jl. Jenderal Basuki Rachmat No.87-91, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
182,Crown Prince Hotel surabaya City Center,-7.27,112.742,"Jl. Basuki Rahmat No.123-127, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
183,JAPFA Tower I,-7.271,112.742,"Jl. Basuki Rahmat No.129-137, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
184,Goldvitel Hotel,-7.272,112.742,"Jl. Basuki Rahmat No.147, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
185,Gedung Bumi Mandiri,-7.27,112.743,"Jl. Jenderal Basuki Rachmat Jl. Basuki Rahmat No.129-137 Lantai 11, Embong Kaliasin, Genteng, Surabaya, East Java 60271"
186,Elmi Hotel,-7.269,112.743,"Jl. Panglima Sudirman No.42-44, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
187,Intiland Tower Surabaya,-7.273,112.743,"Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur"
188,Praxis Apartment,-7.273,112.744,"Jl. Kayoon No.89, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
189,Praxis,-7.273,112.744,"Jl. Sono Kembang No.4-6, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
190,Gerai IM3 Kayoon Surabaya,-7.272,112.744,"Jl. Kayoon No.72, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
191,Blue Dolphin Playskool-Surabaya,-7.272,112.743,"Jl. Embong Cerme No.41, RT.003/RW.04, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
192,Hotel sulawesi Gorontalo,-7.27,112.744,"Jl. Embong Cerme No.5, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
193,Kanwil Kementerian Hukum Jatim,-7.27,112.747,"Jl. Kayoon No.50-52, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
194,dinas kepemudaan dan olahraga prov. Jatim,-7.27,112.746,"Jl. Kayoon No.56, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
195,MNC Tower Surabaya,-7.268,112.745,"Jl. Taman AIS Nasution No.21, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
196,Wisma jerman,-7.268,112.745,"Jl. Taman AIS Nasution No.15, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
197,The Win Hotel,-7.269,112.747,"Jl. Embong Tanjung No.46 - 48, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
198,Kantor Pelayanan Pajak Pratama Surabaya genteng,-7.269,112.747,"Jl. Kayoon No.28, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
199,Ibis Suarabaya City Center,-7.269,112.741,"Jl. Basuki Rahmat No.94 96, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
200,Bank Jatim Kantor Pusat,-7.27,112.741,"Jl. Basuki Rahmat No.98-104, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
201,Bumi Surabaya Ciy Resort,-7.271,112.741,"Jl. Basuki Rahmat No.106-128, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
202,Masjid Baitusy syakur,-7.271,112.741,"PPHR+Q7V, Jl. Basuki Rahmat, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
203,SDN Kaliasin V,-7.273,112.741,"Jl. Keputran Kejambon II No.67, RT.006/RW.12, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
204,RSUP Kemenkes Surabaya,-7.242,112.737,"Jl. Indrapura No.17, Krembangan Sel., Kec. Krembangan, Surabaya, Jawa Timur 60164"
205,SMK Kawung 1 Surabaya,-7.241,112.737,"Jl. Rajawali No.85-93, Kemayoran, Kec. Krembangan, Surabaya, Jawa Timur 60176"
206,Prodi DIII Keperawatan Sutopo Poltekkes Kemenkes Surabaya,-7.242,112.736,"Jl. Parang Kusumo No.1, Kemayoran, Kec. Krembangan, Surabaya, Jawa Timur 60176"
207,SDN Kemayoran surabaya,-7.241,112.734,"Jl. Kemayoran Baru No.88, Kemayoran, Kec. Krembangan, Surabaya, Jawa Timur 60176"
208,Kantor Kelurahan Wonorejo Kecamatan Tegalsari,-7.272,112.733,"Jl. Wonorejo IV No.48, Wonorejo, Kec. Tegalsari, Surabaya, Jawa Timur 60263"
209,Vihara Dhammadipta Surabaya,-7.275,112.733,"Jl. Pandegiling No.260, Wonorejo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
210,Kantor Kelurahan Sawahan,-7.262,112.727,"Jl. Arjuno No.121, Sawahan, Kec. Sawahan, Surabaya, Jawa Timur 60251"
211,Masjid Al Muqorrobien,-7.261,112.728,"Jl. Kedung Anyar V No.8, Sawahan, Kec. Sawahan, Surabaya, Jawa Timur 60251"
212,Pasar Blauran Baru,-7.257,112.733,"Jl. Kranggan blok LB 11, Sawahan, Kec. Sawahan, Surabaya, Jawa Timur 60251"
213,Prime Royal Hotel,-7.256,112.73,"Jl. Kranggan No.81-101, Sawahan, Kec. Sawahan, Surabaya, Jawa Timur 60251"
214,Ibis Surabaya Tidar,-7.257,112.73,"Jl. Tidar No.74, Sawahan, Kec. Sawahan, Surabaya, Jawa Timur 60251"
215,Gereja Yesus Sejati Surabaya,-7.257,112.728,"Jl. Merbabu No.6, Sawahan, Kec. Sawahan, Surabaya, Jawa Timur 60251"
216,"Gereja Katolik Paroki Santo Vincentius A Paulo, Widodaren Sawahan",-7.259,112.732,"Jl. Widodaren No.15, Sawahan, Kec. Sawahan, Surabaya, Jawa Timur 60251"
217,Nite & Day Hotel Kedungdoro,-7.261,112.731,"Jl. Kedung Doro No.36-46 Blok D3–8, Sawahan, Kec. Sawahan, Surabaya, Jawa Timur 60261"
218,SDN Sawahan IV,-7.264,112.725,"Jl. Kedung Anyar VII No.58, Sawahan, Kec. Sawahan, Surabaya, Jawa Timur 60252"
219,Pusat Grosir Surabaya,-7.246,112.732,"Gundih, Kec. Bubutan, Surabaya, Jawa Timur"
220,Stasiun Surabaya Pasar Turi,-7.247,112.731,"Jl. Semarang No.1, Tembok Dukuh, Kec. Bubutan, Surabaya, Jawa Timur 60173"
221,Dupak Grosir Surabaya,-7.247,112.73,"Jl. Gundih No.8-14, Gundih, Kec. Bubutan, Surabaya, Jawa Timur 60172"
222,D'Carol Hotel Surabaya,-7.247,112.73,"Jl. Gundih No.8, Gundih, Kec. Bubutan, Surabaya, Jawa Timur 60172"
223,RSUP Kemenkes Surabaya,-7.24,112.731,"Jl. Indrapura No.17, Krembangan Sel., Kec. Krembangan, Surabaya, Jawa Timur 60164"
224,SMK Kawung 1 Surabaya,-7.238,112.731,"Jl. Rajawali No.85-93, Kemayoran, Kec. Krembangan, Surabaya, Jawa Timur 60176"
225,Prodi DIII keperawatan Sutopo Poltekkes Kemenkes Surabaya,-7.24,112.73,"Jl. Parang Kusumo No.1, Kemayoran, Kec. Krembangan, Surabaya, Jawa Timur 60176"
